,CAPÍTULO I  FILIPA GUIMARÃES,SENTIMENTO GLOBAL,SENTIMENTO POSITIVO,TERMOS/EXPRESSÕES  POSITIVOS,SENTIMENTO NEGATIVO,TERMOS/EXPRESSÕES  NEGATIVOS
1,"Domingos José Correia Botelho de Mesquita e Meneses, fidalgo de linhagem de uma das mais antigas casas de Vila Real de Trás-os-Montes, era, em 1779, juiz de fora de Cascais, e nesse mesmo ano casara com uma dama do paço, D Rita Teresa Margarida Preciosa da Veiga Caldeirão Castelo Branco, filha de um capitão de cavalos, neta de outro, António de Azevedo Castelo Branco Pereira da Silva, tão notável pela sua hierarquia, como por um — naquele tempo famoso — livro que escrevera acerca da Arte da Guerra.",Neutro,0,0,0,0
2,"Dez anos de um amor não correspondido, mantiveram em Lisboa o bacharel provinciano.",Negativo,0,0,1,"""Não correspondido"""
3,Para fazer-se amar da formosa dama de D Maria I faltavam-lhe dotes físicos: Domingos Botelho era extremamente feio.,Negativo,0,0,1,"""extremamente feio"""
4,"Para se inculcar como partido conveniente à pretendente, faltavam-lhe bens de fortuna: os haveres dele não excediam os trinta mil cruzados em propriedades no Douro.",Negativo,0,0,1,"""faltavam-lhe"""
5,"Os dotes de espírito também não o recomendavam: era alcançadíssimo de inteligência, e granjeara entre os seus condiscípulos da Universidade o epíteto de Brocas com que ainda hoje os seus descendentes em Vila Real são conhecidos.",Positivo,1,"""dotes""; ""alcançadíssimos de inteligência""",0,0
6,"Bem ou mal derivado, o epíteto “Brocas” vem de “broa”.",Neutro,0,0,0,0
7,Entenderam os académicos que a rudeza do seu condiscípulo procedia do muito pão de milho que ele ingerira na sua terra.,Negativo,0,0,1,"""rudeza"""
8,"Mas Domingos Botelho devia ter uma vocação qualquer, e tinha: era um excelente flautista; e foi a tocar a flauta que se sustentou dois anos em Coimbra, durante os quais o seu pai lhe suspendeu as mesadas, porque os rendimentos da casa não chegaram para livrar um outro filho de um crime de morte Formara-se Domingos Botelho em 1767, e fora a Lisboa ler no Desembargo do Paço — iniciação banal dos que aspiravam à carreira da magistratura.",Neutro,0,0,0,0
9,"Já Fernão Botelho, pai do bacharel, fora bem aceite em Lisboa, principalmente pelo duque de Aveiro, cuja estima lhe pôs a cabeça em risco, no golpe da tentativa regicida de 1758.",Positivo,1,"""bem aceite""; ""estima""",0,0
10,"O provinciano saiu das masmorras da Junqueira ilibado da infame nódoa, e até ficou bem visto pelo conde de Oeiras, porque tomara parte na prova que este fizera do primor da sua genealogia contra a dos Pintos Coelhos do Bonjardim do Porto — litigio ridículo, mas estrondoso, movido pela recusa que o fidalgo portuense fizera da sua filha ao filho de Sebastião José de Carvalho.",Positivo,1,"""bem visto""",0,0
11,As artes com que o bacharel flautista fez para ganhar a estima de D Maria I e Pedro III não as sei eu.,Neutro,0,0,0,0
12,"Diz a tradição que o homem fazia rir a rainha com as suas graças, e porventura com os trejeitos que revelavam o melhor da sua personalidade.",Positivo,1,"""fazia rir""; ""melhor da sua personalidade""",0,0
13,"O certo é que Domingos Botelho passou a frequentar o paço e a receber do bolsinho da soberana uma farta pensão, com a qual o aspirante a juiz de fora se esqueceu de si, do futuro, e do ministro da justiça que, muito rogado, lhe confiou o encargo de juiz de fora de Cascais.",Neutro,0,0,0,0
14,"Já está dito que ele se atreveu aos amores do paço, não fazendo poesias como Luís de Camões ou Bernardim Ribeiro; mas namorando na sua prosa provinciana, e captando a benevolência da rainha para amolecer as durezas da dama de companhia desta, a sua pretendente.",Neutro,0,0,0,0
15,"Devia de ser, afinal, feliz o doutor bexiga — como era na corte conhecido — para se não desconcertar a discórdia que existe entre o talento e a felicidade.",Positivo,1,"""feliz""",0,0
16,Domingos Botelho casou com D Rita Preciosa.,Neutro,0,0,0,0
17,"Rita era uma formosura, que ainda aos cinquenta anos se podia prezar de o ser.",Positivo,1,"""formosura""",0,0
18,"E não tinha outro dote, pois não é dote uma série de antepassados, uns bispos, outros generais, e entre estes aquele que morrera queimado dentro de um caldeirão à mão dos mouros; glória, na verdade, um pouco ardente; mas de tal modo lembrada que os descendentes do general frito passaram a chamar-se “Caldeirões”.",,0,0,0,0
19,A dama do paço foi feliz com o marido.,Neutro,0,0,0,0
20,"Molestavam-na, no entanto, saudades da corte, das pompas das câmaras reais, e dos luxos e dos hábitos que imolou dos caprichos da rainha.",Negativo,0,0,1,"""Molestavam-na""; ""caprichos"""
21,"Este desgostoso viver, porém, não impediu que se reproduzissem dois filhos e três meninas.",Negativo,0,0,1,"""desgostoso"""
22,"O mais velho era Manuel, o segundo Simão; das meninas uma era Maria, a segunda Ana, e a última tinha o nome da sua mãe, e alguns traços da beleza dela.",Neutro,0,0,0,0
23,"O juiz de fora de Cascais, solicitando lugar de mais graduado banco, morava em Lisboa, na freguesia da Ajuda, em 1784.",Neutro,0,0,0,0
24,"Neste ano nasceu Simão, o penúltimo dos seus filhos.",Neutro,0,0,0,0
25,"Conseguiu então ele, sempre gracejado pela sorte, transferência para Vila Real, a sua ambição suprema.",Positivo,1,"""gracejado pela sorte""",0,0
26,À distância de uma légua de Vila Real estava toda a nobreza da vila à espera do seu conterrâneo.,Neutro,0,0,0,0
27,Cada família tinha a sua liteira com o brasão da respetiva casa.,Neutro,0,0,0,0
28,"A dos Correias de Mesquita era a mais antiquada no feitio, e as vestes dos criados as mais usadas e desgastadas que figuravam na comitiva.",Negativo,0,0,1,"""usadas""; ""desgastadas"""
29,"D Rita, avistando a fila das liteiras, ajustou ao olho direito a sua grande luneta de ouro, e disse: — Ó Meneses, o que é aquilo? — São os nossos amigos e parentes que nos vêm esperar. — Em que século estamos nós nesta montanha? — disse a dama do paço. — Em que século?",Neutro,0,0,0,0
30,O século tanto é dezoito aqui como em Lisboa. — Ah! sim?,Neutro,0,0,0,0
31,Julgo que o tempo aqui parou no século doze...,Neutro,0,0,0,0
32,"Por alguma razão, o marido achou que devia rir-se do gracejo, apesar deste não lisonjear grandemente.",Negativo,0,0,1,"""não lisonjear"""
33,"Fernão Botelho, pai do juiz de fora, pôs-se à frente da procissão para dar a mão à nora, que saia da liteira, para a conduzir até casa.",Neutro,0,0,0,0
34,"D Rita, antes de ver a cara do seu sogro, contemplou-lhe a olho armado as fivelas de aço, e a bolsa do rabicho.",Neutro,0,0,0,0
35,Disse ela depois que os fidalgos de Vila Real andavam mais imundos que os carvoeiros de Lisboa.,Negativo,0,0,1,"""imundos"""
36,"Antes de entrar na antiga liteira do seu sogro, perguntou, com a mais refalsada seriedade, se não haveria risco em ir dentro daquela antiguidade.",Negativo,0,0,1,"""refalsada"""
37,"Fernão Botelho assegurou a sua nora que a sua liteira não tinha ainda cem anos, e que os cavalos não excediam os trinta anos.",Neutro,0,0,0,0
38,"O modo altivo com que ela recebeu as cortesias da nobreza — a velha nobreza que para ali viera nos tempo de D Dinis, fundador da vila — fez com que o mais novo daquele grupo, que só tinha doze anos, me contasse a depois: Sabíamos que ela era dama de companhia de D Maria I porém, com soberba com que nos tratou julgar-se-ia que estávamos perante a própria rainha.",Neutro,0,0,0,0
