Nome,Texto
CAPÍTULO I,"Domingos José Correia Botelho de Mesquita e Meneses, fidalgo de linhagem de uma das mais antigas casas de Vila Real de Trás-os-Montes, era, em 1779, juiz de fora de Cascais, e nesse mesmo ano casara com uma dama do paço, D Rita Teresa Margarida Preciosa da Veiga Caldeirão Castelo Branco, filha de um capitão de cavalos, neta de outro, António de Azevedo Castelo Branco Pereira da Silva, tão notável pela sua hierarquia, como por um — naquele tempo famoso — livro que escrevera acerca da Arte da Guerra."
CAPÍTULO I,"Dez anos de um amor não correspondido, mantiveram em Lisboa o bacharel provinciano."
CAPÍTULO I,Para fazer-se amar da formosa dama de D Maria I faltavam-lhe dotes físicos: Domingos Botelho era extremamente feio.
CAPÍTULO I,"Para se inculcar como partido conveniente à pretendente, faltavam-lhe bens de fortuna: os haveres dele não excediam os trinta mil cruzados em propriedades no Douro."
CAPÍTULO I,"Os dotes de espírito também não o recomendavam: era alcançadíssimo de inteligência, e granjeara entre os seus condiscípulos da Universidade o epíteto de Brocas com que ainda hoje os seus descendentes em Vila Real são conhecidos."
CAPÍTULO I,"Bem ou mal derivado, o epíteto “Brocas” vem de “broa”."
CAPÍTULO I,Entenderam os académicos que a rudeza do seu condiscípulo procedia do muito pão de milho que ele ingerira na sua terra.
CAPÍTULO I,"Mas Domingos Botelho devia ter uma vocação qualquer, e tinha: era um excelente flautista; e foi a tocar a flauta que se sustentou dois anos em Coimbra, durante os quais o seu pai lhe suspendeu as mesadas, porque os rendimentos da casa não chegaram para livrar um outro filho de um crime de morte Formara-se Domingos Botelho em 1767, e fora a Lisboa ler no Desembargo do Paço — iniciação banal dos que aspiravam à carreira da magistratura."
CAPÍTULO I,"Já Fernão Botelho, pai do bacharel, fora bem aceite em Lisboa, principalmente pelo duque de Aveiro, cuja estima lhe pôs a cabeça em risco, no golpe da tentativa regicida de 1758."
CAPÍTULO I,"O provinciano saiu das masmorras da Junqueira ilibado da infame nódoa, e até ficou bem visto pelo conde de Oeiras, porque tomara parte na prova que este fizera do primor da sua genealogia contra a dos Pintos Coelhos do Bonjardim do Porto — litigio ridículo, mas estrondoso, movido pela recusa que o fidalgo portuense fizera da sua filha ao filho de Sebastião José de Carvalho."
CAPÍTULO I,As artes com que o bacharel flautista fez para ganhar a estima de D Maria I e Pedro III não as sei eu.
CAPÍTULO I,"Diz a tradição que o homem fazia rir a rainha com as suas graças, e porventura com os trejeitos que revelavam o melhor da sua personalidade."
CAPÍTULO I,"O certo é que Domingos Botelho passou a frequentar o paço e a receber do bolsinho da soberana uma farta pensão, com a qual o aspirante a juiz de fora se esqueceu de si, do futuro, e do ministro da justiça que, muito rogado, lhe confiou o encargo de juiz de fora de Cascais."
CAPÍTULO I,"Já está dito que ele se atreveu aos amores do paço, não fazendo poesias como Luís de Camões ou Bernardim Ribeiro; mas namorando na sua prosa provinciana, e captando a benevolência da rainha para amolecer as durezas da dama de companhia desta, a sua pretendente."
CAPÍTULO I,"Devia de ser, afinal, feliz o doutor bexiga — como era na corte conhecido — para se não desconcertar a discórdia que existe entre o talento e a felicidade."
CAPÍTULO I,Domingos Botelho casou com D Rita Preciosa.
