Title,Cited by,DOI,Link,Abstract,AuthorKeyword_1,AuthorKeyword_2,AuthorKeyword_3,AuthorKeyword_4,AuthorKeyword_5,AuthorKeyword_6,AuthorKeyword_7,AuthorKeyword_8,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7
Your light switch is your vote': Mediating discourse and participation in the 'Vote Earth' campaign to foster awareness of anthropogenic climate change,3,10.1558/japl.v6i3.303,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952051150&doi=10.1558%2fjapl.v6i3.303&partnerID=40&md5=ff9a1d95703a0efd6597bea16980f90b,"This paper applies some of the major concepts and methods that Ron Scollon developed in order to analyse how discourses of environmental citizenship, sustainability and climate change are mediated in a global media event. 'Earth Hour' began in 2007 in Sydney, Australia, and in 2009 it was proclaimed a successful global event. The event focused primarily on citizen awareness, participation and solidarity in mitigating climate change. In its sister campaign ('Vote Earth'), the discourse of representative democracy was deployed to constitute an imaginary global electorate. The paper focuses on the analysis of: (a) the intense drive to visualize and spectacularize (mediational means) the simple act of switching off the lights and the consequences of such an act; (b) the massive infrastructure of discourse to synchronize the collective performance of a global 'climate public'; (c) the discursive 'memory work' to archive and memorialize the hour, e.g. on YouTube; (d) the attempt to inculcate a 'global citizen' who is concerned with the environment/climate and whose anticipatory mediated actions in relation to it are prefigured by the event; and (e) the resistance to the circulation of this new mediated discourse. © 2011, Equinox Publishing.",Climate change,Climate public,Global media event,Mediated discourse,Vote earth,YouTube,,,McIlvenny P.,,,,,,
"Rich internet publications: ""Show what you tell""",14,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958115052&partnerID=40&md5=1717dab7f876536377a28de90e73c3b8,"The journal article is still the basis of scholarly communication. This genre, however, largely adheres to the rules of the printed publication and does not meet the requirements of this age of digital Web publishing. Today we do not need to restrict ourselves any longer to communicating the results of the research process only. We can also allow readers to inspect the underlying data online, to publish their own comments and, using a variety of multimedia content, to be witness to intermediary stages of the scientific discovery process. This development has stimulated the transformation of the conventional article: when published in a digital format, it is more and more enhanced with data sets, photos, videos, interactive maps and animations; these enhancements affect its structure and layout. A variety of new publication formats is appearing, some of which can be no longer adequately described as simply ""enhanced"" publications. They are rather to be conceived as a new genre, for which we propose the term Rich Internet Publication (RIP), analogue to the well-known concept of Rich Internet Application. Both share features of information integration, visualization and exploration (i.e. non-linear reading), typical for hypermedia products. This paper relates apparently quite different variants of scholarly publishing by highlighting common elements of data access and delineates the gradation of publication enhancement. RIPs do not constitute a sharply delimited category, but are part of a broad spectrum, which starts with regular enhanced publications closely resembling their printed counterparts, and ends with high-quality multimedia presentations having more in common with Web applications than with the conventional journal article. We distinguish two subcategories: RIP type I is primarily based on a linear text, but fully integrated with multimedia content and tools to access and analyze data, while RIP type II is more image-driven, has a user interface with more graphic elements and encourages explorative, non-linear reading. The production of enhanced publications and RIPs is not yet a straightforward process. It requires extra effort from the author, which is currently insufficiently rewarded. This may change when funding agencies get more interested in research products that go beyond the level of textual publications. Dedicated tools for construction of RIPs are equally important, which requires consensus on architecture and infrastructure. Development of these tools could fit in with the recently started research line of adding semantic metadata to object-based enhanced publications. Moreover, the creation of a RIP will rely on the author's basic competencies of e-scholarship.When authors start creating RIPs on a larger scale, the process of exchanging and preserving them has to be supported. Usually, a RIP is not a single static file, which can be downloaded and attached to an email, but a set of related components. Preserving the content's integrity will be a major concern.",,,,,,,,,Breure L.,Voorbij H.,Hoogerwerf M.,,,,
User evaluation of searchling: A visual interface for bilingual digital libraries,10,10.1108/02640471111111442,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953254418&doi=10.1108%2f02640471111111442&partnerID=40&md5=981e7ab13d191ebda63342a499a75159,"Purpose - This paper seeks to describe a qualitative user study of Searchling - an experimental visual interface that allows users to leverage a bilingual thesaurus for query formulation and enhancement. Design/methodology/ approach - The design of Searchling is based on theories of thesaurus-based interface design, combined with the principles of rich-prospect browsing. The Searchling interface provides the user with three working spaces on one screen: the Thesaurus space, Query space, and Document space. A total of 15 graduate and faculty researchers at the University of Alberta, were interviewed, who carried out three structured tasks in a thinkaloud protocol, with simultaneous audio recording and screen capture. Findings - The participants identified a number of significant advantages to the researchers provided by Searchling, including the value of having an interface that could help with identifying search terms, suggesting preferred terms, and giving bilingual search support. They also suggested areas for future improvement, primarily related to the assumption that common knowledge of thesauri would be sufficient to make the various features clear, if they were described using standard vocabulary from the thesaurus field. Practical implications - The interface can be implemented as an operational user interface to support users' exploratory and browsing behaviours. Originality/value - The paper describes a new visual way of incorporating a thesaurus into a user interface with the ability of browsing, querying and examining the results all at the same time. © Emerald Group Publishing Limited.",Digital libraries,Information retrieval,,,,,,,Shiri A.,Ruecker S.,Bouchard M.,Stafford A.,Mehta P.,Anvik K.,Rossello X.
Introduction,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856928167&partnerID=40&md5=7db1986326aef64fa101d96e9f82c760,[No abstract available],,,,,,,,,Gotti M.,,,,,,
"Religion and the digital humanities: New tools, methods and perspectives",1,10.1163/9789047429470_009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84968807214&doi=10.1163%2f9789047429470_009&partnerID=40&md5=8b9c0c714a30424beaa7ed0b0fe7b85a,[No abstract available],,,,,,,,,Hutchings T.,,,,,,
Toward modeling the social edition: An approach to understanding the electronic scholarly edition in the context of new and emerging social media,22,10.1093/llc/fqs013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868155100&doi=10.1093%2fllc%2ffqs013&partnerID=40&md5=567dc00f2fc89131003ee3fa8753fefb,"This article explores building blocks in extant and emerging social media toward the possibilities they offer to the scholarly edition in electronic form, positing that we are witnessing the nascent stages of a new 'social' edition existing at the intersection of social media and digital editing. Beginning with a typological formulation of electronic scholarly editions, activities common to humanities scholars who engage with texts as expert readers are considered, noting that many methods of engagement both reflect the interrelated nature of long-standing professional reading strategies and are social in nature; extending this frame work, the next steps in the scholarly edition's development in its incorporation of social media functionality reflect the importance of traditional humanistic activities and workflows, and include collaboration, incorporating contributions by its readers and re-visioning the role of the editor away from that of ultimate authority and more toward that of facilitator of reader involvement. Intended to provide a 'toolkit' for academic consideration, this discussion of the emerging social edition points to new methods of textual engagement in digital literary studies and is accompanied by two integral, detailed appendices, published in Digital Humanities Quarterly under the title 'Pertinent discussions toward modeling the social edition: Annotated bibliographies' (http://www.digitalhumanities.org/dhq/vol/6/1/000111/000111.html): one addressing issues pertinent to online reading and interaction, and another on social networking tools. © The Author 2012. Published by Oxford University Press on behalf of ALLC.",,,,,,,,,Siemens R.,Timney M.,Leitch C.,Koolen C.,Garnett A.,,
Where is American Literature,10,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014466855&partnerID=40&md5=d1148e57dc6cce151cab2c43c952dc2d,"Where is American Literature? offers a spirited and compelling argument for rethinking the way we view American literature in relation to the nation while powerfully demonstrating why it continues to matter in a global age. A refreshing and accessible investigation into the various locations - linguistic, geographical, virtual, ideological - where American writing is produced and consumed Takes a highly original approach by viewing US literature spatially rather than chronologically or thematically, retuning our understanding of the subject The book offers a vital intervention in current debates over the impact of digital technologies on the production and reception of literature, ensuring that the field remains lively and dynamic Invites readers to reconsider the subject by questioning current perspectives on, and approaches to, US literature, offering a range of fresh perspectives on familiar texts and topics. © 2013 Caroline F. Levander. All rights reserved.",,,,,,,,,Levander C.F.,,,,,,
Critical digital tourism studies,10,10.1108/S1571-5043(2013)0000018016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896452186&doi=10.1108%2fS1571-5043%282013%290000018016&partnerID=40&md5=a3d41ad6af1b6e128cb1d29239743c14,"This chapter analyzes the subject of critical digital tourism studies and envisions an agenda for technology research and education. Inspired by the insights of this book and the work of scholars in digital humanities and communication (Baym, 2010; Hayles, 2012), the study presents ′embedded cognition′ as a framework to comprehend the interdependencies between people's actions and discourses, and technological affordances. It introduces the concept of ′turistus digitalis,′ discusses theories for conceptualizing society and technology relations, and examines the challenges of transdisciplinarity. This investigation contributes to increasing research reflexivity in understanding how tourism is enacted through digital worlds and how digital technologies evolve through tourism practices. © 2013 by Emerald Group Publishing Limited.",Digital studies,Education,Embedded cognition,Methodology,,,,,Munar A.M.,Gyimóthy S.,,,,,
"Scholarly, digital, open: An impossible triangle?",15,10.3402/rlt.v21.21366,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893870478&doi=10.3402%2frlt.v21.21366&partnerID=40&md5=280ea9990181685f1d5a288d2b958785,"Contemporary approaches to the digital transformation of practice in university research and teaching sometimes assume a convergence between the digital and openness. This assumption has led to the idea of 'digital open scholarship,' which aims to open up scholarship to participants from outside academic scholarly communities. But scholarship, digitality and openness exist in tension with each other - we can see the individual features of each, but we cannot make sense of the whole picture. It resembles an 'impossible triangle'. Particularly confounding is the tension between digital scholarship and open knowledge, where the former is focused on the creation by specialist communities of knowledge of a stable and enduring kind, whilst the latter is characterised by encyclopaedic knowledge and participation that is unbounded by affiliation or location. However, we need not be permanently thwarted by the apparent impossibility of this triangle. It is a stimulus to look critically at the contexts of practice in which a relationship between scholarship, digitality and openness is sought. Constructive examples of such critique can be found in the emerging research field of literacy and knowledge practice in the digital university. © 2013 R. Goodfellow.",Digital scholarship,Digital university,Literacy,Open scholarship,Public engagement,Research,,,Goodfellow R.,,,,,,
Where is American Literature?,8,10.1002/9781118339633,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883493008&doi=10.1002%2f9781118339633&partnerID=40&md5=6acaf5a13ef9b81a73c41eed94c58602,"Where is American Literature? offers a spirited and compelling argument for rethinking the way we view American literature in relation to the nation while powerfully demonstrating why it continues to matter in a global age. A refreshing and accessible investigation into the various locations - linguistic, geographical, virtual, ideological - where American writing is produced and consumed Takes a highly original approach by viewing US literature spatially rather than chronologically or thematically, retuning our understanding of the subject The book offers a vital intervention in current debates over the impact of digital technologies on the production and reception of literature, ensuring that the field remains lively and dynamic Invites readers to reconsider the subject by questioning current perspectives on, and approaches to, US literature, offering a range of resh perspectives on familiar texts and topics. © 2013 Caroline F. Levander.",,,,,,,,,Levander C.F.,,,,,,
