Title,Cited by,DOI,Link,Abstract,AuthorKeyword_1,AuthorKeyword_2,AuthorKeyword_3,AuthorKeyword_4,AuthorKeyword_5,AuthorKeyword_6,AuthorKeyword_7,AuthorKeyword_8,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Author_11,Author_12,Author_13,Author_14,Author_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sara Ahmed’s Politics of Citation and Student Scholarship: Uncovering Indigenous Coauthors of British Folklore Collections,0,10.2979/victorianstudies.64.2.12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136995886&doi=10.2979%2fvictorianstudies.64.2.12&partnerID=40&md5=a8f0e9f8abd8700e71cb7195ad0988c1,"In 2021, I taught an introductory literary seminar in which students read the folklore of colonized subjects and supernatural fiction by writers of color who had lived under British rule or Western imperial influence. We partnered with Adrian Wisnicki’s digital humanities project One More Voice to create an online anthology and video series that critically frame folklore collections from Japan, India, South Africa, and Jamaica. The students learned about Sara Ahmed’s politics of citation and applied her ideas in giving credit to the Indigenous coauthors who sourced, transcribed, and translated oral folktales for British colonizers. I argue that we should regard the students as scholars who modeled ways of undisciplining Victorian studies in their work on Lafcadio Hearn and Setsu Koizumi’s Kottō (1902). © 2022 The Trustees of Indiana University.",,,,,,,,,Ohri I.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A practical workflow for the 3D reconstruction of complex historic sites and their decorative interiors: Florence As It Was and the church of Orsanmichele,0,10.1186/s40494-022-00750-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135140533&doi=10.1186%2fs40494-022-00750-1&partnerID=40&md5=899f1da57f37c23d2c9b6719952e2d47,"The Digital Humanities project Florence As It Was (http://florenceasitwas.wlu.edu) seeks to reconstruct the architectural and decorative appearance of late Medieval and early Modern buildings by combining 3D point cloud models of buildings (i.e. extant structures such as chapels, churches, etc.) with 3D rendered models of artworks that were installed inside them during the fourteenth and fifteenth centuries. This paper documents a novel bifurcated workflow that allows the construction of such integrated 3D models as well as an example case study of a church in Florence, Italy called Orsanmichele (https://3d.wlu.edu/v21/pages/orsanmichele2.html). The key steps worked out in the optimized workflow include: (1) art historical research to identify the original artworks in each building, (2) the use of LiDAR scanners to obtain 3D data (along with associated color information) of the interiors and exteriors of buildings, (3) the use of high resolution photogrammetry of works of art (i.e. paintings and sculptures) which have been removed from those buildings and are now in public collections, (4) the generation of point clouds from the 3D data of the buildings and works of art, (5) the editing and cojoining of a textured polygon model of artworks with a reduced size (using novel algorithms) point cloud model of the buildings in an open-source software tool called Potree so that artworks can be embedded in their original architectural settings, and (6) the annotation of these models with scholarly art historical texts that present viewers immediate access to information, archival evidence, and historical descriptions of these spaces. The integrated point cloud and textured models of buildings and artworks, respectively, plus annotations are then published with Potree. This process has resulted in the development of highly accurate virtual reconstructions of key monuments from the Florentine Middle Ages and Renaissance (like the fourteenth century building of Orsanmichele and the multiple paintings that were once inside it) as they originally appeared. The goal of this project is to create virtual models for scholars and students to explore research questions while providing key information that may assist in generating new projects. Such models represent a significant tool to allow improved teaching of art and architectural history. Furthermore, since the assigned location of some of the historic artworks within these sites are not always firmly known, the virtual model allows users to experiment with potential arrangements of objects in and on the buildings they may have originally decorated. © 2022, The Author(s).",Digital humanities,Florence,LiDAR,Model,Orsanmichele,Photogrammetry,Potree,Scan,Bent G.R.,Pfaff D.,Brooks M.,Radpour R.,Delaney J.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROTEUS: an immersive tool for exploring the world of cultural heritage across space and time scales,0,10.1186/s40494-022-00708-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131002133&doi=10.1186%2fs40494-022-00708-3&partnerID=40&md5=b2cb61b330b3a31de3cdda1eec8dea26,"In the field of digital humanities, it is increasingly necessary to develop and validate virtual reality tools that are capable of combining various scientific data in a virtualized context providing also access and user friendly consultation of online repositories. This paper reports the main aspects of the implementation of a virtual reality tool integrated with an online repository for storing 3D models, metadata and chemical analyses related to different sectors of digital humanities. The virtual reality software, developed for the Oculus Quest 2 hardware, is called PROTEUS and allows for seamless transition from the macroscopic world of digital humanities to the microscopic world of molecular sciences. The paper illustrates, by means of some case studies, the performances of this innovative tool that permits the researcher to understand and manipulate objects, to test hypotheses and to seek meaningful results, visualising the metadata while changing the parameters of the simulation in a dynamic and interactive way. This represents also a significant step forward in the democratisation of science, thanks to an user-friendly and immersive access to advanced scientific algorithms, which allow the natural perception of structural and topological features of the underlying molecular and supra-molecular systems. Graphical Abstract: [Figure not available: see fulltext.]. © 2022, The Author(s).",3D technologies,Archaeology,Digital humanities,Intangible cultural heritage,Virtual reality,,,,Albertini N.,Baldini J.,Dal Pino A.,Lazzari F.,Legnaioli S.,Barone V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Deep Learning Approach to Clustering Visual Arts,2,10.1007/s11263-022-01664-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136160398&doi=10.1007%2fs11263-022-01664-y&partnerID=40&md5=80538a8242cf6b978985bf8e89c1f2d6,"Clustering artworks is difficult for several reasons. On the one hand, recognizing meaningful patterns based on domain knowledge and visual perception is extremely hard. On the other hand, applying traditional clustering and feature reduction techniques to the highly dimensional pixel space can be ineffective. To address these issues, in this paper we propose DELIUS: a DEep learning approach to cLustering vIsUal artS. The method uses a pre-trained convolutional network to extract features and then feeds these features into a deep embedded clustering model, where the task of mapping the input data to a latent space is jointly optimized with the task of finding a set of cluster centroids in this latent space. Quantitative and qualitative experimental results show the effectiveness of the proposed method. DELIUS can be useful for several tasks related to art analysis, in particular visual link retrieval and historical knowledge discovery in painting datasets. © 2022, The Author(s).",Autoencoders,Computer vision,Cultural heritage,Deep clustering,Digital humanities,Visual arts,,,Castellano G.,Vessio G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measuring Human Perception to Improve Handwritten Document Transcription,0,10.1109/TPAMI.2021.3092688,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112169268&doi=10.1109%2fTPAMI.2021.3092688&partnerID=40&md5=a05afed30a1af3d77b69c1c34595b880,"In this paper, we consider how to incorporate psychophysical measurements of human visual perception into the loss function of a deep neural network being trained for a recognition task, under the assumption that such information can reduce errors. As a case study to assess the viability of this approach, we look at the problem of handwritten document transcription. While good progress has been made towards automatically transcribing modern handwriting, significant challenges remain in transcribing historical documents. Here we describe a general enhancement strategy, underpinned by the new loss formulation, which can be applied to the training regime of any deep learning-based document transcription system. Through experimentation, reliable performance improvement is demonstrated for the standard IAM and RIMES datasets for three different network architectures. Further, we go on to show feasibility for our approach on a new dataset of digitized Latin manuscripts, originally produced by scribes in the Cloister of St. Gall in the the 9th century. © 1979-2012 IEEE.",deep learning,digital humanities,Document transcription,visual psychophysics,visual recognition,,,,Grieggs S.,Shen B.,Rauch G.,Li P.,Ma J.,Chiang D.,Price B.,Scheirer W.J.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interactive Visual Exploration of Longitudinal Historical Career Mobility Data,3,10.1109/TVCG.2021.3067200,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103234851&doi=10.1109%2fTVCG.2021.3067200&partnerID=40&md5=451e3980bac018ca94d31e343585d6b9,"The increased availability of quantitative historical datasets has provided new research opportunities for multiple disciplines in social science. In this article, we work closely with the constructors of a new dataset, CGED-Q (China Government Employee Database-Qing), that records the career trajectories of over 340,000 government officials in the Qing bureaucracy in China from 1760 to 1912. We use these data to study career mobility from a historical perspective and understand social mobility and inequality. However, existing statistical approaches are inadequate for analyzing career mobility in this historical dataset with its fine-grained attributes and long time span, since they are mostly hypothesis-driven and require substantial effort. We propose CareerLens, an interactive visual analytics system for assisting experts in exploring, understanding, and reasoning from historical career data. With CareerLens, experts examine mobility patterns in three levels-of-detail, namely, the macro-level providing a summary of overall mobility, the meso-level extracting latent group mobility patterns, and the micro-level revealing social relationships of individuals. We demonstrate the effectiveness and usability of CareerLens through two case studies and receive encouraging feedback from follow-up interviews with domain experts. © 1995-2012 IEEE.",career mobility,Digital humanities,quantitative history,visual analytics,,,,,Wang Y.,Liang H.,Shu X.,Wang J.,Xu K.,Deng Z.,Campbell C.,Chen B.,Wu Y.,Qu H.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A spatio-temporal emotional framework for knowledge extraction and mining in digital humanities,0,10.1108/AJIM-09-2021-0278,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127797911&doi=10.1108%2fAJIM-09-2021-0278&partnerID=40&md5=6c020b81ee9b8b401d545d50a9c8eb37,"Purpose: This paper aims to construct a spatio-temporal emotional framework (STEF) for digital humanities from a quantitative perspective, applying knowledge extraction and mining technology to promote innovation of humanities research paradigm and method. Design/methodology/approach: The proposed STEF uses methods of information extraction, sentiment analysis and geographic information system to achieve knowledge extraction and mining. STEF integrates time, space and emotional elements to visualize the spatial and temporal evolution of emotions, which thus enriches the analytical paradigm in digital humanities. Findings: The case study shows that STEF can effectively extract knowledge from unstructured texts in the field of Chinese Qing Dynasty novels. First, STEF introduces the knowledge extraction tools – MARKUS and DocuSky – to profile character entities and perform plots extraction. Second, STEF extracts the characters' emotional evolutionary trajectory from the temporal and spatial perspective. Finally, the study draws a spatio-temporal emotional path figure of the leading characters and integrates the corresponding plots to analyze the causes of emotion fluctuations. Originality/value: The STEF is constructed based on the “spatio-temporal narrative theory” and “emotional narrative theory”. It is the first framework to integrate elements of time, space and emotion to analyze the emotional evolution trajectories of characters in novels. The execuability and operability of the framework is also verified with a case novel to suggest a new path for quantitative analysis of other novels. © 2022, Emerald Publishing Limited.",Digital humanities,Knowledge extraction,Knowledge mining,Natural language processing,Spatio-temporal emotional analysis,,,,Deng J.,Zhong C.,Sun S.,Wang R.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Construction Method of the Classification System Oriented to Content Analysis of Ancient Books,0,10.13998/j.cnki.issn1002-1248.21-0264,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126609245&doi=10.13998%2fj.cnki.issn1002-1248.21-0264&partnerID=40&md5=5037e97056e9ff9723ea31ab018c167c,"[Purpose/Significance] With the deepening of digital humanistic research on ancient books, the requirement for fine-grained classification based on text content is increasing continuously, and reasonable classification has become the key to the research and effective utilization of digital ancient books.[Method/Process] The research uses the concept of faceted classification, takes the text data of ancient books and related dictionary of ancient books as the research object, and combines conceptual semantic information to organize and describe the features of the content of ancient books. [Results/Conclusions] The classification system constructed in this paper breaks through the limitation of the number, genre and type of ancient books. The research selects five dimensions of politics, economy, culture, society and military to organize and reveal the contents of ancient books in an orderly manner, which is of great value to the in-depth development and utilization of digital resources of ancient books. © 2022 Pirogov Russian National Research Medical University. All rights reserved.",Digital humanities,Digital resource of ancient book,Faceted classification,Information organization,,,,,Ai Y.,Xu J.,He L.,Qi Y.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Trigger Verb Classification Method of Event Sentences in Ancient Chinese Classics Based on Bi-LSTM,0,10.13998/j.cnki.issn1002-1248.21-0262,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126601336&doi=10.13998%2fj.cnki.issn1002-1248.21-0262&partnerID=40&md5=65ac0f9ebe878bae5e6e35573a7a0e3a,"[Purpose/Significance] It is of great significance to carry out research on the recognition and classification of trigger verbs in ancient books oriented to digital humanities for the deep mining and content revealing of ancient texts. This paper uses the deep learning classification algorithm to explore an automated method for multivariate classification of event sentence text based on trigger words in ancient books. [Method/Process] Based on the construction of the classic event trigger word classification system and trigger dictionary, four different types of event sentence texts are selected as experimental data, and the category labels and sentence texts are coded separately using Onehot and Tokenizer, and then the classifier is trained in the Bi-LSTM model, and a comparative experiment is set by adjusting the parameters, and the performance of the classifier is analyzed by using a general evaluation index. [Results/Conclusions] The classifier after many training and adjustments has an accuracy of 0.95 in the evaluation of the test set, which proves that the experimental method based on deep learning and the constructed trigger word data set can effectively help us realize automatic multivariate classification of event sentence text of ancient books. © 2022 Pirogov Russian National Research Medical University. All rights reserved.",Bi-LSTM model,Multivariate classification,Trigger word classification,Zuo Zhuan,,,,,Ma X.,He L.,Liu J.,Li Z.,Gao D.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Testing and Disrupting Ontologies: Using the Database of Religious History as a Pedagogical Tool,0,10.3390/rel13090793,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138732770&doi=10.3390%2frel13090793&partnerID=40&md5=81b4072e5e649aee122d88342e1d9923,"In an age of “Big Data” the study of the history and archaeology of religion faces an exponentially increasing quantity and range of data and scholarly interpretation. For the student and scholar alike, new tools that allow for efficient and accurate inquiry are a necessity. Here, the open-access and digital Database of Religious History (DRH) is presented as one such tool that addresses this need and is well suited for use in the classroom. In this article, we present the basic structure of the database along with a demonstration of its potential use. Following a thematic inquiry into questions concerning “high gods”, individual disciplinary-specific case studies examine applications to particular contexts across time and space. These case studies demonstrate the ways in which the DRH can test and disrupt ontologies through its ability to efficiently cross traditional disciplinary boundaries. © 2022 by the authors.",archaeology,database,digital humanities,high gods,history,pedagogy,religion,religious studies,Danielson A.J.,Arbuckle MacLeod C.,Hamm M.J.,Canlas G.,Randall I.E.,Moreiras Reynaga D.K.,Weideman J.,Monroe M.W.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
