capítulo,texto,#palavras,#unicas,#pontos_interrogacao,#pontos_exclamacao,#nomes,#adjectivos,#adverbios,#verbos,diversidade_lexical,densidade_lexical,sentimento,sent_score,summarizador
CAPÍTULO I,"Domingos José Correia Botelho de Mesquita e Meneses, fidalgo de linhagem de uma das mais antigas casas de Vila Real de Trás-os-Montes, era, em 1779, juiz de fora de Cascais, e nesse mesmo ano casara com uma dama do paço, D Rita Teresa Margarida Preciosa da Veiga Caldeirão Castelo Branco, filha de um capitão de cavalos, neta de outro, António de Azevedo Castelo Branco Pereira da Silva, tão notável pela sua hierarquia, como por um — naquele tempo famoso — livro que escrevera acerca da Arte da Guerra.",86,68,0,0,14,4,4,2,24,27.906976744186046,NEGATIVE,0.6607905626296997,"O fidalgo de linhagem de Vila Real de Trás-os-Montes, era, em 1779, juiz de fora de Cascais, e nesse mesmo ano casara com uma dama do paço, D Rita Teresa Margarida Preciosa da Veiga Caldeirão Castelo Branco."
CAPÍTULO I,"Dez anos de um amor não correspondido, mantiveram em Lisboa o bacharel provinciano.",13,13,0,0,3,1,1,2,7,53.84615384615385,NEUTRAL,0.410672128200531,"O amor não correspondido, em Lisboa, foi"
CAPÍTULO I,Para fazer-se amar da formosa dama de D Maria I faltavam-lhe dotes físicos: Domingos Botelho era extremamente feio.,18,18,0,0,2,3,1,3,9,50.0,NEGATIVE,0.7109667062759399,Amar da forma certa.
CAPÍTULO I,"Para se inculcar como partido conveniente à pretendente, faltavam-lhe bens de fortuna: os haveres dele não excediam os trinta mil cruzados em propriedades no Douro.",25,24,0,0,6,1,1,4,12,48.0,NEGATIVE,0.6408405303955078,Não faltavam bens de fortuna.
CAPÍTULO I,"Os dotes de espírito também não o recomendavam: era alcançadíssimo de inteligência, e granjeara entre os seus condiscípulos da Universidade o epíteto de Brocas com que ainda hoje os seus descendentes em Vila Real são conhecidos.",36,31,0,0,6,1,4,3,14,38.888888888888886,NEGATIVE,0.6088566184043884,Não se esqueça de que era mais inteligente do que o seu espírito.
CAPÍTULO I,"Bem ou mal derivado, o epíteto “Brocas” vem de “broa”.",10,10,0,0,2,1,2,1,6,60.0,NEUTRAL,0.41818103194236755,A palavra “Brocas” significa “bro
CAPÍTULO I,Entenderam os académicos que a rudeza do seu condiscípulo procedia do muito pão de milho que ele ingerira na sua terra.,21,19,0,0,6,0,0,3,9,42.857142857142854,NEGATIVE,0.7050406336784363,Entenderam os académicos que a rudeza do seu condiscípulo pro
CAPÍTULO I,"Mas Domingos Botelho devia ter uma vocação qualquer, e tinha: era um excelente flautista; e foi a tocar a flauta que se sustentou dois anos em Coimbra, durante os quais o seu pai lhe suspendeu as mesadas, porque os rendimentos da casa não chegaram para livrar um outro filho de um crime de morte Formara-se Domingos Botelho em 1767, e fora a Lisboa ler no Desembargo do Paço — iniciação banal dos que aspiravam à carreira da magistratura.",77,64,0,0,13,3,2,11,29,37.66233766233766,NEGATIVE,0.6426680088043213,Mas Domingos Botelho tinha uma vocação.
CAPÍTULO I,"Já Fernão Botelho, pai do bacharel, fora bem aceite em Lisboa, principalmente pelo duque de Aveiro, cuja estima lhe pôs a cabeça em risco, no golpe da tentativa regicida de 1758.",31,29,0,0,7,1,4,3,15,48.38709677419355,NEGATIVE,0.6995715498924255,"O duque de Aveiro, pai do bacharel, fora aceito em Lisboa, principalmente pelo duque de Aveiro, que lhe pôs a cabeça em risco."
CAPÍTULO I,"O provinciano saiu das masmorras da Junqueira ilibado da infame nódoa, e até ficou bem visto pelo conde de Oeiras, porque tomara parte na prova que este fizera do primor da sua genealogia contra a dos Pintos Coelhos do Bonjardim do Porto — litigio ridículo, mas estrondoso, movido pela recusa que o fidalgo portuense fizera da sua filha ao filho de Sebastião José de Carvalho.",64,54,0,0,15,4,2,7,28,43.75,NEGATIVE,0.7266142964363098,"O fidalgo portuense saiu das masmorras da Junqueira ilibada da infame nódoa, e até ficou bem visto pelo conde de Oeiras, porque ele fez a prova que este fizera do primor da sua genealogia contra a dos Pintos Coelho do Bonjardim do Porto"
