Authors,Title,Year,Source title,Cited by,DOI,Link,Author Keywords,Language of Original Document,Document Type,Source
"Kotze H., Janssen B., Koolen C., van der Plas L., van Egdom G.-W.","Norms, affect and evaluation in the reception of literary translations in multilingual online reading communities Deriving cognitive-evaluative templates from big data",2021,"Translation, Cognition and Behavior",,"10.1075/tcb.00060.kot","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127359627&doi=10.1075%2ftcb.00060.kot&partnerID=40&md5=fa5b3f2984d3998d88fd402f9d76c814","Affect; Big data; Computational analysis; Digital humanities; Translation norms; Translation reception","English",Article,Scopus
"Oberbichler S., Gallner-Holzmann, Hug T.","Generous and inviting interfaces revisited: Examples of designing visual structures for digital archives",2021,"Information Design Journal",,"10.1075/idj.20028.obe","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124603903&doi=10.1075%2fidj.20028.obe&partnerID=40&md5=ee0a4222e9aff72162192cbd94efc1cc","Argumentation mapping; Cultural collections; Didactical design; Digital humanities; Information visualization; Interface design","English",Article,Scopus
"Feng L., Underwood T.","The Core Issues and Latest Progress of Current Digital Humanities Research: An Interview with Ted Underwood [当下数字人文研究的核心问题与最新进展: 泰德•安德伍德访谈录]",2021,"Foreign Literature Studies",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122319795&partnerID=40&md5=673feede6f3526e872603e6fdedb6f7d","Digital analysis; Digital humanities; Machine learning; Statistical model","English",Article,Scopus
"Makhachashvili R., Bakhtina A., Semenist I., Prihodko G., Prykhodchenko O.","Emoji explication in digital communication: Logical-phenomenological experiment",2021,"ACM International Conference Proceeding Series",1,"10.1145/3526242.3526259","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128665747&doi=10.1145%2f3526242.3526259&partnerID=40&md5=91cca61a187640412613f7118bcb4d87","digital communication; digital humanities; emoji; G. Frege's semantic triangle; polylaterality; qualia; structure; syllogism","English",Conference Paper,Scopus
"Chatzipanagiotou M., Machotka E., Pavlopoulos J.","Automated recognition of geographical named entities in titles of Ukiyo-e prints",2021,"ACM International Conference Proceeding Series",1,"10.1145/3526242.3526254","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128637891&doi=10.1145%2f3526242.3526254&partnerID=40&md5=41454d5a2f46489ee57758601933c8a2","art history; named entity recognition; natural language processing; Ukiyo-e prints","English",Conference Paper,Scopus
"Buinytska O., Varchenko-Trotsenko L., Terletska T., Tiutiunnyk A.","Utilization of E-learning system for innovative methods implementation in humanities pedagogy",2021,"ACM International Conference Proceeding Series",2,"10.1145/3526242.3526262","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128630987&doi=10.1145%2f3526242.3526262&partnerID=40&md5=a70d2858c4d3752b61ab462fb99bd831","Collaboration; Digital humanities; E-learning system; Fipped classroom; Innovative methods of teaching; Moodle; Project based learning","English",Conference Paper,Scopus
"Opryshko T., Nazarovets S.","Case Study: Citizen Science in Digital Humanities context",2021,"ACM International Conference Proceeding Series",1,"10.1145/3526242.3526246","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128619152&doi=10.1145%2f3526242.3526246&partnerID=40&md5=0e4123018664868ce1f6cd067d76d634","Citizen humanities; Citizen science; crowdsourcing; Digital humanities; gamification","English",Conference Paper,Scopus
[No author name available],"Proceedings of Digital Humanities Workshop, DHW 2021",2021,"ACM International Conference Proceeding Series",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128596360&partnerID=40&md5=caca11c40cfe912a0134959f4fb65bc0",,"English",Conference Review,Scopus
"Semerikov S.O., Mintii I.S., Makhachashvili R.K.","Digital humanities event horizon",2021,"ACM International Conference Proceeding Series",,"10.1145/3526242.3526243","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128589995&doi=10.1145%2f3526242.3526243&partnerID=40&md5=6c49b630cffb69cac7a4ff35839ae363","DHW; Digital Humanities Workshop","English",Conference Paper,Scopus
"Darmon A.N.M., Bazzi M., Howison S.D., Porter M.A.","Pull out all the stops: Textual analysis via punctuation sequences",2021,"European Journal of Applied Mathematics",2,"10.1017/S0956792520000157","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094132886&doi=10.1017%2fS0956792520000157&partnerID=40&md5=9db9d7b7aaed77ecb03423ac2db1bd56","categorical time series; computational linguistics; computational methods; digital humanities; Markov processes; mathematical modelling; natural language processing; Stylometry","English",Article,Scopus
"Schouten S., De Boer V., Petram L., Van Erp M.","The Wind in Our Sails: Developing a Reusable and Maintainable Dutch Maritime History Knowledge Graph",2021,"K-CAP 2021 - Proceedings of the 11th Knowledge Capture Conference",,"10.1145/3460210.3493548","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120915872&doi=10.1145%2f3460210.3493548&partnerID=40&md5=fd10a53834e0eba7e9b42f25461fc5a2","digital humanities; knowledge graph; maritime history","English",Conference Paper,Scopus
"Moretti F.","Quantitative Criticism as Project and Issue [La critica quantitativa come progetto e come problema]",2021,"Intersezioni",,"10.1404/102239","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130714344&doi=10.1404%2f102239&partnerID=40&md5=d8bb56d17d77ca04976fe2ffb7af1f1e","Digital humanities; Quantitative literary history","Italian",Article,Scopus
"Pinotti A.","Art History in the Mirror of Visual Studies and Digital Humanities [La storia dell’arte nello specchio dei Visual Studies e delle Digital Humanities]",2021,"Intersezioni",,"10.1404/102237","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130694129&doi=10.1404%2f102237&partnerID=40&md5=97d33b1b029f3db6bfee0ea4577848c8","Digital Art History; Iconic Turn; Image Science; Neuroarthistory; Visual Culture Studies","Italian",Article,Scopus
"Ros R.","Conceptualizing an Outside World The Case of “Foreign” in Dutch Newspapers 1815-1914",2021,"Contributions to the History of Concepts",,"10.3167/choc.2021.160203","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130116702&doi=10.3167%2fchoc.2021.160203&partnerID=40&md5=6e67207727343db180ff11be7bd2ea03","conceptual history; digital humanities; globalization; nationalism; spatial concepts; text mining","English",Article,Scopus
"Youngmin K.","Transductive Convergence of Digital Humanities/Trans Media Art/World Literature",2021,"Forum for World Literature Studies",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128675362&partnerID=40&md5=d680a95d981cf8a456080bb3d7784b38","convergence; ethics; feedback loops; Gilbert Simondon; individuation; pre-individual; transduction; world literature","English",Article,Scopus
"Marchevska E., Defrin C.","‘Third nature’: Embodiment of borders and thinking beyond – surviving despite capitalism",2021,"Journal of Dance and Somatic Practices",,"10.1386/jdsp_00037_1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127383261&doi=10.1386%2fjdsp_00037_1&partnerID=40&md5=5889b964e0cd0b71f917fcc2f0892f5e","Authentic Movement; borders; co-creation; eco-humanities; pluriverse; somatic practice","English",Article,Scopus
"Arthur P.L., Hearn L., Montgomery L., Craig H., Arbuckle A., Siemens R.","Open scholarship in Australia: A review of needs, barriers, and opportunities",2021,"Digital Scholarship in the Humanities",,"10.1093/llc/fqaa063","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126700613&doi=10.1093%2fllc%2ffqaa063&partnerID=40&md5=fd77c0c030a1b14bb2538454e5ca2c44",,"English",Review,Scopus
[No author name available],"Erratum: Polysemy, synonymy, and metaphor: The use of the Historical Thesaurus of English in translation studies (Digital Scholarship in the Humanities DOI: 10.1093/llc/fqab008)",2021,"Digital Scholarship in the Humanities",,"10.1093/llc/fqab044","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126696889&doi=10.1093%2fllc%2ffqab044&partnerID=40&md5=85295c324e218a84acafc160f013ff33",,"English",Erratum,Scopus
"Cuijuan Xia, Wang L., Liu W.","Shanghai memory as a digital humanities platform to rebuild the history of the city",2021,"Digital Scholarship in the Humanities",,"10.1093/llc/fqab023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126689751&doi=10.1093%2fllc%2ffqab023&partnerID=40&md5=6c65511c6149a90e5ee5d5839844e209",,"English",Article,Scopus
